symbol,name,series,isin,yahoo_symbol
20MICRONS,20 Microns Limited,EQ,INE144J01027,20MICRONS.NS
21STCENMGM,21st Century Management Services Limited,EQ,INE253B01015,21STCENMGM.NS
360ONE,360 ONE WAM LIMITED,EQ,INE466L01038,360ONE.NS
3BBLACKBIO,3B Blackbio Dx Limited,EQ,INE994E01018,3BBLACKBIO.NS
3IINFOLTD,3i Infotech Limited,BE,INE748C01038,3IINFOLTD.NS
3MINDIA,3M India Limited,EQ,INE470A01017,3MINDIA.NS
3PLAND,3P Land Holdings Limited,EQ,INE105C01023,3PLAND.NS
5PAISA,5Paisa Capital Limited,EQ,INE618L01018,5PAISA.NS
63MOONS,63 moons technologies limited,EQ,INE111B01023,63MOONS.NS
A2ZINFRA,A2Z Infra Engineering Limited,EQ,INE619I01012,A2ZINFRA.NS
AAATECH,AAA Technologies Limited,EQ,INE0D0U01013,AAATECH.NS
AADHARHFC,Aadhar Housing Finance Limited,EQ,INE883F01010,AADHARHFC.NS
AAKASH,Aakash Exploration Services Limited,EQ,INE087Z01024,AAKASH.NS
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,INE198H01019,AAREYDRUGS.NS
AARNAV,Aarnav Fashions Limited,BE,INE750R01016,AARNAV.NS
AARON,Aaron Industries Limited,EQ,INE721Z01010,AARON.NS
AARTECH,Aartech Solonics Limited,BE,INE01C001026,AARTECH.NS
AARTIDRUGS,Aarti Drugs Limited,EQ,INE767A01016,AARTIDRUGS.NS
AARTIIND,Aarti Industries Limited,EQ,INE769A01020,AARTIIND.NS
AARTIPHARM,Aarti Pharmalabs Limited,EQ,INE0LRU01027,AARTIPHARM.NS
AARTISURF,Aarti Surfactants Limited,BE,INE09EO01013,AARTISURF.NS
AARVI,Aarvi Encon Limited,EQ,INE754X01016,AARVI.NS
AASTHA,Aastha Spintex Limited,EQ,INE2FMX01012,AASTHA.NS
AAVAS,Aavas Financiers Limited,EQ,INE216P01012,AAVAS.NS
ABAN,Aban Offshore Limited,BE,INE421A01028,ABAN.NS
ABANSENT,Abans Enterprises Limited,EQ,INE365O01028,ABANSENT.NS
ABB,ABB India Limited,EQ,INE117A01022,ABB.NS
ABBOTINDIA,Abbott India Limited,EQ,INE358A01014,ABBOTINDIA.NS
ABCAPITAL,Aditya Birla Capital Limited,EQ,INE674K01013,ABCAPITAL.NS
ABCOTS,A B Cotspin India Limited,EQ,INE08PH01015,ABCOTS.NS
ABDL,Allied Blenders and Distillers Limited,EQ,INE552Z01027,ABDL.NS
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,INE647O01011,ABFRL.NS
ABINFRA,A B Infrabuild Limited,BE,INE00YB01025,ABINFRA.NS
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,INE14LE01019,ABLBL.NS
ABMINTLLTD,ABM International Limited,BE,INE251C01025,ABMINTLLTD.NS
ABMKNO,ABM Knowledgeware Limited,EQ,INE850B01026,ABMKNO.NS
ABREL,Aditya Birla Real Estate Limited,EQ,INE055A01016,ABREL.NS
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,INE404A01024,ABSLAMC.NS
ACC,ACC Limited,EQ,INE012A01025,ACC.NS
ACCELYA,Accelya Solutions India Limited,EQ,INE793A01012,ACCELYA.NS
ACCURACY,Accuracy Shipping Limited,BE,INE648Z01023,ACCURACY.NS
ACE,Action Construction Equipment Limited,EQ,INE731H01025,ACE.NS
