Symbol,Yahoo_Symbol,Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA200,EMA9,EMA20,EMA50,RSI14,ATR14,ATR_Pct,Volume_Ratio,52W_High,52W_Low,Distance_200DMA_Pct,Distance_52W_High_Pct,Support,Resistance,Pivot,Return_5D_Pct,Return_20D_Pct,Return_60D_Pct,Above_200DMA,Near_200DMA,Recent_200DMA_Cross_Down,Breakout,Near_Breakout,Technical_Score,Trend_Score,Momentum_Score,RSI_Score,Volume_Score,Position_Score,Breakout_Score,Setup,name,series,isin,Company_Name,Sector,Industry,Market_Cap,Enterprise_Value,Revenue,Net_Income,EPS,Forward_EPS,Book_Value,Total_Debt,Total_Cash,Current_Ratio,Quick_Ratio,ROE,ROA,Operating_Margin,Profit_Margin,Debt_to_Equity,PE,Forward_PE,PB,PEG,Dividend_Yield,Revenue_Growth,Profit_Growth,Fundamental_Score,Sector_Score,Market_Adjustment,Overall_Score,Trade_Status,Entry_Zone,Entry_Price,Stop_Loss,Target_1,Target_2,Risk_Reward,Ranking_Quality
RBLBANK,RBLBANK.NS,2026-09-22,404.29998779296875,424.3999938964844,402.8500061035156,423.20001220703125,7366084.0,403.06249847412107,387.85899841308594,371.21149963378906,340.47925003051756,410.2850722204591,404.404158868915,390.8408070850398,64.18455809876484,10.2457344136969,2.42101467820484,1.955154091445729,424.3999938964844,261.6000061035156,24.29539015053026,-0.2827478102522818,375.0,420.3999938964844,404.46666463216144,4.8562947985904215,10.20833651224773,14.672815663237415,True,False,False,True,True,77.98,25.0,82.15,87.63,83.43,100.0,100.0,Strong Breakout Watch,RBL Bank Limited,EQ,INE976G01028,RBL Bank Limited,Financial Services,Banks - Regional,625959174144.0,229205131264.0,79456002048.0,7216269824.0,12.13,20.03055,270.96,152253202432.0,108387999744.0,,,,,13.972001,9.081999999999999,,33.272877,20.149221,1.4895188,,33.0,40.8,367.9,85.3,50,-1.4280000000000004,79.48,Actionable Watch,420.40 or below,420.4,405.03,451.14,466.51,2.0,Very Strong
DICIND,DICIND.NS,2026-09-22,629.9000244140625,667.9500122070312,626.0,654.25,19144.0,606.4349914550781,561.6909967041015,538.206997680664,526.2244978332519,623.7011325248633,606.7606174214174,575.4415304920421,68.25179837363704,28.933258121043707,4.4223550815504336,2.460399570740986,667.9500122070312,450.5,24.32906538823214,-2.0510535154814713,547.2999877929688,642.0,629.6333414713541,10.30093114238586,10.505871715139993,30.38063290466413,True,False,True,True,True,81.22,25.0,95.32,79.5,100.0,100.0,100.0,Strong Breakout Watch,DIC India Limited,EQ,INE303A01010,DIC India Limited,Basic Materials,Specialty Chemicals,5444510208.0,5324805632.0,9844589568.0,289308000.0,31.55,42.77,483.852,32700000.0,153843008.0,2.037,1.236,,,6.84,2.939,0.736,18.800318,13.868366,1.2258915,,50.0,25.4,227.2,78.16,50,-1.4280000000000004,78.568,Actionable Watch,642.00 or below,642.0,598.6,728.8,772.2,2.0,Very Strong
INDSWFTLAB,INDSWFTLAB.NS,2026-09-22,388.0,417.0,386.20001220703125,405.54998779296875,2018072.0,374.4905014038086,306.9520013427734,238.7663005065918,180.7239500808716,381.5766955422321,366.5218945885207,318.14324640257115,68.89135734511709,21.791853569716867,5.373407526975811,1.796728441619382,417.0,87.1500015258789,124.40301222471648,-2.7458062846597686,320.05999755859375,404.0,378.7999979654948,7.075904367780539,25.02311538575881,99.258089827209,True,False,False,True,True,78.42,25.0,100.0,78.22,77.89,100.0,100.0,Strong Breakout Watch,Ind-Swift Laboratories Limited,EQ,INE915B01019,Ind-Swift Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,32936691712.0,28706314240.0,6744245760.0,573249024.0,6.71,,165.767,205012992.0,4417501184.0,,,,,13.502,8.5,1.481,56.445602,,2.2848337,,,25.4,142.70000000000002,81.1,50,-1.4280000000000004,78.064,Actionable Watch,404.00 or below,404.0,371.31,469.38,502.06,2.0,Very Strong
FINCABLES,FINCABLES.NS,2026-09-22,1409.9000244140625,1474.0,1404.300048828125,1468.0999755859375,1669851.0,1329.0775024414063,1195.565,1137.9865002441406,981.9047509765625,1393.685882224859,1341.1874961369294,1242.9338597422864,67.08777993152839,63.68444042850756,4.337881717019325,1.3293306032125065,1498.0,700.7999877929688,49.51551809132455,-1.9959962893232652,1186.5,1498.0,1406.5333251953125,9.567874381369368,16.52974592495793,25.543008802444756,True,False,False,False,True,71.5,25.0,100.0,81.82,61.53,100.0,75.0,Pre-Breakout Watch,Finolex Cables Limited,EQ,INE235A01022,Finolex Cables Limited,Industrials,Electrical Equipment & Parts,204923437056.0,184465883136.0,69386403840.0,8001399808.0,52.26,72.7,397.807,191400000.0,20693999616.0,,,,,11.058,11.532,0.314,25.639112,18.430538,3.3682163,,63.0,44.3,53.2,84.49,50,-1.4280000000000004,75.268,Actionable Watch,1468.10 or below,1468.1,1372.57,1659.15,1754.68,2.0,Very Strong
ENGINERSIN,ENGINERSIN.NS,2026-09-22,286.70001220703125,304.95001220703125,281.5,302.54998779296875,23535059.0,270.56300201416013,249.02200103759765,244.68910049438477,224.00700019836427,276.7936904351308,269.20102374603067,256.3398623571743,74.19169127852356,10.64346310429129,3.517918867534208,3.304186601010086,304.95001220703125,163.5500030517578,35.06273800597863,-0.7870222390524484,243.5,289.6499938964844,280.1333312988281,15.279090768075477,20.836321548349602,25.742898061383567,True,False,False,True,True,80.14,25.0,100.0,67.62,100.0,100.0,100.0,Strong Breakout Watch,Engineers India Limited,EQ,INE510A01028,Engineers India Limited,Industrials,Engineering & Construction,147508019200.0,133204148224.0,38776631296.0,7841243136.0,13.96,13.65,55.825,168019008.0,14473662464.0,,,,,14.229,20.222001,0.534,18.800144,19.227108,4.7012987,,186.0,-5.800000000000001,142.2,71.16,50,-1.4280000000000004,75.12,Actionable Watch,289.65 or below,289.65,273.68,321.58,337.55,2.0,Very Strong
DIVISLAB,DIVISLAB.NS,2026-09-22,9444.0,9444.0,9315.5,9352.0,293678.0,9290.15,8544.19,7638.965,6948.425,9325.072953834395,9182.216795046052,8605.56718543145,61.275887491221496,182.72349124726634,1.9538440039271423,0.5858152473180289,9615.0,5636.5,34.591652065036314,-2.7353094123764965,8497.0,9615.0,9415.833333333334,1.6742770167427645,6.947223969352168,42.14926280589755,True,False,False,False,False,60.98,25.0,97.61,93.45,35.5,100.0,35.0,52W High Watch,Divi's Laboratories Limited,EQ,INE361B01024,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2441779871744.0,2409519906816.0,112299999232.0,29250000896.0,110.0,150.47398,631.374,70000000.0,32330000384.0,,,,,36.655998000000004,26.046000000000003,0.042,83.61818,61.126846,14.568227,,32.0,27.800000000000004,65.7,99.79,50,-1.4280000000000004,75.076,Actionable Watch,9352.00 or below,9352.0,9077.91,9900.17,10174.26,2.0,Very Strong
AVTNPL,AVTNPL.NS,2026-09-22,90.0999984741211,100.0,90.0999984741211,98.26000213623047,4545400.0,89.01249923706055,80.20339950561524,74.91779975891113,69.78499994277954,90.04061427595063,88.05221720805486,82.46915365553966,70.8935149036714,4.445641933946609,4.524365802254965,8.408523179814363,100.0,53.5,40.8039008623617,-1.7399978637695268,83.56999969482422,97.0,89.1500015258789,13.937853165822833,12.748135875881172,38.08318870077723,True,False,True,True,True,81.13,25.0,100.0,74.21,100.0,100.0,100.0,Strong Breakout Watch,AVT Natural Products Limited,EQ,INE488D01021,AVT Natural Products Limited,Basic Materials,Specialty Chemicals,13132972032.0,12797450240.0,8220240896.0,837910976.0,5.5,1.78,36.729,1136055040.0,1471576960.0,,,,,15.254000000000001,10.193000000000001,20.311,15.679999,48.449436,2.3480084,,100.0,82.19999999999999,155.0,65.25,50,-1.4280000000000004,73.35,Actionable Watch,97.00 or below,97.0,90.33,110.34,117.01,2.0,Very Strong
SANSERA,SANSERA.NS,2026-09-22,4489.89990234375,4630.0,4393.2998046875,4586.5,914978.0,4013.975,3745.6499951171877,3318.96400390625,2681.46700012207,4196.576200919723,4052.843208095097,3773.1487068136403,73.50731890521709,169.0735563761509,3.6863306742865123,4.056459290900567,4630.0,1364.199951171875,71.04443201393886,-0.9395248380129617,3733.699951171875,4328.0,4266.0,18.462175732697773,20.999868091280828,43.49853169600284,True,False,False,True,True,80.35,25.0,100.0,68.99,100.0,100.0,100.0,Strong Breakout Watch,Sansera Engineering Limited,EQ,INE953O01021,Sansera Engineering Limited,Consumer Cyclical,Auto Parts,241607884800.0,243414597632.0,37528739840.0,3484250112.0,52.04,90.67455,496.13,5911529984.0,3989530112.0,,,,,13.137001000000001,9.284,19.023,74.39854,42.69886,7.803801,,10.0,33.300000000000004,38.3,63.14,50,-1.4280000000000004,72.038,Actionable Watch,4328.00 or below,4328.0,4074.39,4835.22,5088.83,2.0,Very Strong
KINGFA,KINGFA.NS,2026-09-22,6062.0,6300.0,6056.0,6168.5,21396.0,6011.525,5663.2,5422.867001953125,4847.103507080078,6009.239291774968,5963.265090510976,5734.89121897837,59.36848034982488,215.65694402533398,3.4961002516873467,1.4407741231688143,6347.0,3649.89990234375,27.261569533016594,-2.812352292421616,5675.5,6347.0,5968.666666666667,7.203684393465415,4.382773500296144,19.486682808716704,True,False,False,False,False,62.56,25.0,74.35,97.26,65.43,100.0,35.0,52W High Watch,Kingfa Science & Technology (India) Limited,EQ,INE473D01015,Kingfa Science & Technology (India) Limited,Basic Materials,Specialty Chemicals,77974642688.0,73916948480.0,22221914112.0,2256750080.0,170.42,,1032.595,154038000.0,4208699904.0,,,,,15.831000000000001,10.1560004,1.101,33.76364,,5.5723686,,32.0,49.1,80.10000000000001,85.33,50,-1.4280000000000004,70.24000000000001,Actionable Watch,6168.50 or below,6168.5,5845.01,6815.47,7138.96,2.0,Very Strong
DOLPHIN,DOLPHIN.NS,2026-09-22,694.0,745.0,668.4000244140625,724.2999877929688,205611.0,647.8849975585938,527.4139978027343,461.7609979248047,439.23999893188477,674.3979601937706,642.3133671671453,562.5216905955477,69.76907175631627,44.47674186093053,6.1406520240952425,2.5159117397834794,745.0,322.0,64.89845859991674,-2.778525128460574,555.25,741.4000244140625,687.5666707356771,11.25105619743798,17.49533189233139,96.52693305740682,True,False,True,False,False,68.47,25.0,100.0,76.46,100.0,100.0,35.0,52W High Watch,Dolphin Offshore Enterprises (India) Limited,EQ,INE920A01037,Dolphin Offshore Enterprises (India) Limited,Energy,Oil & Gas Equipment & Services,26044981248.0,27661320192.0,1428238976.0,720193984.0,17.98,,88.335,2032076032.0,437564992.0,,,,,47.654,50.425,57.496,36.20968,,7.3702383,,,160.60000000000002,30.7,75.0,50,-1.4280000000000004,69.654,Actionable Watch,724.30 or below,724.3,657.58,857.73,924.45,2.0,Strong
