Symbol,Yahoo_Symbol,Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA200,EMA9,EMA20,EMA50,RSI14,ATR14,ATR_Pct,Volume_Ratio,52W_High,52W_Low,Distance_200DMA_Pct,Distance_52W_High_Pct,Support,Resistance,Pivot,Return_5D_Pct,Return_20D_Pct,Return_60D_Pct,Above_200DMA,Near_200DMA,Recent_200DMA_Cross_Down,Breakout,Near_Breakout,Technical_Score,Trend_Score,Momentum_Score,RSI_Score,Volume_Score,Position_Score,Breakout_Score,Setup,name,series,isin,Company_Name,Sector,Industry,Market_Cap,Enterprise_Value,Revenue,Net_Income,EPS,Forward_EPS,Book_Value,Total_Debt,Total_Cash,Current_Ratio,Quick_Ratio,ROE,ROA,Operating_Margin,Profit_Margin,Debt_to_Equity,PE,Forward_PE,PB,PEG,Dividend_Yield,Revenue_Growth,Profit_Growth,Fundamental_Score,Sector_Score,Market_Adjustment,Overall_Score,Trade_Status,Entry_Zone,Entry_Price,Stop_Loss,Target_1,Target_2,Risk_Reward,Ranking_Quality
STEELCAS,STEELCAS.NS,2026-09-25,358.95001220703125,390.8999938964844,356.29998779296875,376.5,1077973.0,331.0274993896484,331.25199951171874,312.2454995727539,272.5702995300293,344.4235833212591,336.37049872771604,328.47182562767597,68.38698768552369,17.426070442035382,4.628438364418428,4.771532800351279,390.8999938964844,176.02000427246094,38.12950297562436,-3.683805096271675,292.20001220703125,365.0,354.84999593098956,17.693031317103024,9.99123968059159,21.236520624498457,True,False,False,True,True,79.93,25.0,86.97,79.23,100.0,100.0,100.0,Strong Breakout Watch,Steelcast Limited,EQ,INE124E01038,Steelcast Limited,Basic Materials,Steel,31650299904.0,30672654336.0,4413003776.0,906883968.0,8.94,,39.033,0.0,977646016.0,,,,,22.996001,20.549999,,34.983223,,8.012451,,55.00000000000001,17.0,19.1,88.06,50,-1.3875,81.79450000000001,Actionable Watch,365.00 or below,365.0,338.86,417.28,443.42,2.0,Excellent
ANTELOPUS,ANTELOPUS.NS,2026-09-25,1135.0,1290.9000244140625,1094.4000244140625,1261.699951171875,7875095.0,1069.2349945068358,922.312998046875,860.2944958496093,698.8332473754883,1144.3023094867217,1073.6459367282957,962.1579113014831,69.48239759011531,83.41183693547873,6.611067620158445,1.8164798102376998,1290.9000244140625,357.0,80.54377863535652,-2.261993391427919,777.4500122070312,1218.300048828125,1142.3499755859375,14.196495366056826,60.25656938072457,57.250575130943936,True,False,False,True,True,78.34,25.0,100.0,77.04,78.58,100.0,100.0,Strong Breakout Watch,Antelopus Selan Energy Limited,EQ,INE818A01017,Antelopus Selan Energy Limited,Energy,Oil & Gas E&P,37194747904.0,36541526016.0,2788800000.0,896099968.0,37.48,,186.411,35500000.0,687900032.0,2.755,2.04,14.704999999999998,9.304,47.985,32.132,0.542,28.223055,,5.674558,,,65.3,158.9,89.6,50,-1.3875,81.45649999999999,Actionable Watch,1218.30 or below,1218.3,1093.18,1468.54,1593.65,2.0,Excellent
CASTROLIND,CASTROLIND.NS,2026-09-25,194.8000030517578,202.10000610351562,194.22999572753906,201.6699981689453,13232453.0,190.46800079345704,188.43380096435547,186.12690048217775,185.51990020751953,194.5537762606975,191.81135633418913,189.0514434868028,71.19017037210237,3.355389553652448,1.6638020449831772,4.129215493077513,207.1999969482422,170.10000610351562,8.705318374665216,-2.6689183690858154,184.10000610351562,197.85000610351562,194.2699991861979,2.297858777174544,8.869570388987903,9.383307213715408,True,False,True,True,True,77.33,25.0,75.25,73.62,100.0,100.0,100.0,Strong Breakout Watch,Castrol India Limited,EQ,INE172A01027,Castrol India Limited,Energy,Oil & Gas Refining & Marketing,185776963584.0,177956864000.0,62250000384.0,10623500288.0,10.74,11.81896,19.27,531500000.0,8628799488.0,1.511,0.852,56.996,24.879,24.779,17.066,2.784,17.487896,15.891416,9.746757,,665.0,25.0,42.1,88.69,50,-1.3875,80.48649999999999,Actionable Watch,197.85 or below,197.85,192.82,207.92,212.95,2.0,Excellent
DIVISLAB,DIVISLAB.NS,2026-09-25,9602.0,9668.5,9530.0,9619.5,388854.0,9366.225,8684.37,7726.27,6997.1725,9466.529352363212,9294.4766220949,8719.740196490353,67.23184845600431,188.6417675911968,1.9610350599427913,0.8132848190974922,9740.0,5636.5,37.47695944326084,-1.2371663244353237,8923.0,9740.0,9627.333333333334,2.6080000000000103,4.1184110834505905,42.363474914903065,True,False,False,False,True,67.57,25.0,92.13,81.54,43.46,100.0,75.0,Pre-Breakout Watch,Divi's Laboratories Limited,EQ,INE361B01024,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2441779871744.0,2409519906816.0,112299999232.0,29250000896.0,110.0,150.47398,631.374,70000000.0,32330000384.0,,,,,36.655998000000004,26.046000000000003,0.042,83.61818,61.126846,14.568227,,32.0,27.800000000000004,65.7,99.79,50,-1.3875,79.0705,Actionable Watch,9619.50 or below,9619.5,9336.54,10185.43,10468.39,2.0,Very Strong
ROLEXRINGS,ROLEXRINGS.NS,2026-09-25,182.8000030517578,196.8300018310547,180.5800018310547,195.35000610351562,7168470.0,175.18999938964845,166.45719940185546,155.19990036010742,142.7005503463745,179.58800010699343,176.05091107022082,168.38608933548522,72.38921986578461,7.316130772756676,3.745139771779618,4.298150747153456,196.8300018310547,99.79000091552734,36.895061462163966,-0.7519157210644112,160.74000549316406,187.64999389648438,181.55333455403647,13.522782441220006,8.197176849404508,37.551049307633264,True,False,False,True,True,80.15,25.0,96.44,71.22,100.0,100.0,100.0,Strong Breakout Watch,Rolex Rings Limited,EQ,INE645S01024,Rolex Rings Limited,Industrials,Metal Fabrication,43670593536.0,41661263872.0,11562489856.0,1520819968.0,5.59,9.26667,44.563,0.0,3674030080.0,,,,,19.610001,13.153,,29.779964,17.964382,3.7356102,,,4.3999999999999995,22.400000000000002,77.35,50,-1.3875,77.6425,Actionable Watch,187.65 or below,187.65,176.68,209.6,220.57,2.0,Very Strong
KRONOX,KRONOX.NS,2026-09-25,205.0,206.5800018310547,198.00999450683594,206.5800018310547,145260.0,180.46199951171874,170.87239959716797,157.02169998168947,142.07149982452393,187.10141255311387,181.68205825866843,172.38980940109315,68.59578045420335,10.556408829448964,5.110082648794926,1.286844175448792,223.4199981689453,96.0,45.40565988689276,-7.53737197918899,163.85000610351562,197.89999389648438,194.83333333333334,19.555535539009526,9.731226951434735,28.694241423276544,True,False,True,True,True,74.69,25.0,92.42,78.81,60.04,100.0,100.0,Strong Breakout Watch,Kronox Lab Sciences Limited,BE,INE0ATZ01017,Kronox Lab Sciences Limited,Basic Materials,Specialty Chemicals,6321037312.0,5749355520.0,1053190016.0,286840000.0,7.79,,31.636,16070000.0,487409984.0,,,,,30.106001999999997,27.235,1.384,21.869062,,5.3850045,,28.000000000000004,16.900000000000002,17.599999999999998,85.33,50,-1.3875,77.5585,Actionable Watch,197.90 or below,197.9,182.07,229.57,245.4,2.0,Very Strong
WHIRLPOOL,WHIRLPOOL.NS,2026-09-25,855.0,960.0,835.5499877929688,918.9000244140625,27943204.0,788.5825073242188,788.8430053710938,801.4620007324219,839.4504995727539,810.9590046498773,793.2335995222694,793.0049715280568,72.05091777234928,39.10197741877823,4.255302685807594,10.910230576940558,1437.0,706.0,9.464468111192414,-36.054278050517574,706.0,878.0,847.1500040690104,28.03399871602512,12.991088154203823,13.704138669091503,True,False,False,True,True,78.83,25.0,86.95,71.9,100.0,100.0,100.0,Strong Breakout Watch,Whirlpool of India Limited,EQ,INE716A01013,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-1.3875,77.4425,Actionable Watch,878.00 or below,878.0,819.35,995.31,1053.96,2.0,Very Strong
TNTELE,TNTELE.NS,2026-09-25,9.460000038146973,10.4399995803833,9.029999732971191,9.90999984741211,92721.0,9.014999961853027,9.026800022125244,9.110299978256226,9.268999991416932,9.230510917592133,9.094595289686,9.0650198285213,72.67122756818102,0.6047234955325631,6.102154438382561,3.2122738579436403,15.739999771118164,7.809999942779541,6.915523320625105,-37.03939014283666,8.399999618530273,9.890000343322754,9.103333473205566,11.851018413342063,11.22334474888289,7.834606092536722,True,False,False,True,True,77.41,25.0,78.71,70.66,100.0,100.0,100.0,Strong Breakout Watch,Tamilnadu Telecommunication Limited,EQ,INE141D01018,Tamilnadu Telecommunications Limited,Technology,Communication Equipment,422092416.0,800656384.0,,-148617504.0,-3.26,,-43.284,397525184.0,100400.0,0.036,0.024,,-13.41,,,,,,-0.2134738,,,,,,50,-1.3875,76.0225,Actionable Watch,9.89 or below,9.89,8.98,11.7,12.61,2.0,Very Strong
AETHER,AETHER.NS,2026-09-25,1653.0,1798.0,1640.4000244140625,1767.0,1685135.0,1647.434991455078,1600.293994140625,1414.26099609375,1219.6475024414062,1664.3797306937909,1646.8622430610194,1581.209427614038,69.0771312728624,56.431828652325606,3.193651876192734,6.496679344778524,1798.0,728.0,44.8779255041265,-1.7241379310344862,1552.699951171875,1717.0,1644.7333170572917,8.40490797546012,4.137196437515289,29.9646978324259,True,False,False,True,True,79.01,25.0,82.25,77.85,100.0,100.0,100.0,Strong Breakout Watch,Aether Industries Limited,EQ,INE0BWX01014,Aether Industries Limited,Basic Materials,Specialty Chemicals,210121457664.0,212778385408.0,12300690432.0,2351909888.0,17.75,28.57232,185.099,4579369984.0,56630000.0,,,,,24.91,19.12,18.646,89.18873,55.40677,8.55272,,,27.500000000000004,34.1,74.91,50,-1.3875,75.9825,Actionable Watch,1717.00 or below,1717.0,1632.35,1886.3,1970.94,2.0,Very Strong
RPGLIFE,RPGLIFE.NS,2026-09-25,2878.0,3127.800048828125,2863.5,3050.60009765625,111001.0,2759.7049926757813,2752.6619970703123,2553.62099609375,2317.0399993896485,2870.4361811730264,2794.777012229319,2707.104754162367,65.48180169030812,143.03873473337387,4.688872030236586,3.448365846573955,3127.800048828125,1733.0,31.659362741248962,-2.4681869034690718,2490.10009765625,3047.199951171875,2940.36669921875,8.856701540166378,20.215951302721468,26.2770111763206,True,False,True,True,True,82.76,25.0,100.0,85.04,100.0,100.0,100.0,Strong Breakout Watch,RPG Life Sciences Limited,EQ,INE105J01010,RPG Life Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,44966273024.0,42422575104.0,7343300096.0,1196400000.0,72.32,94.2,366.013,200000000.0,2743699968.0,,,,,19.107,16.292,3.304,37.59403,28.861998,7.4281516,,89.0,15.8,17.0,68.99,50,-1.3875,75.86449999999999,Actionable Watch,3047.20 or below,3047.2,2832.64,3476.32,3690.87,2.0,Very Strong
