Symbol,Yahoo_Symbol,Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA200,EMA9,EMA20,EMA50,RSI14,ATR14,ATR_Pct,Volume_Ratio,52W_High,52W_Low,Distance_200DMA_Pct,Distance_52W_High_Pct,Support,Resistance,Pivot,Return_5D_Pct,Return_20D_Pct,Return_60D_Pct,Above_200DMA,Near_200DMA,Recent_200DMA_Cross_Down,Breakout,Near_Breakout,Technical_Score,Trend_Score,Momentum_Score,RSI_Score,Volume_Score,Position_Score,Breakout_Score,Setup,name,series,isin,Company_Name,Sector,Industry,Market_Cap,Enterprise_Value,Revenue,Net_Income,EPS,Forward_EPS,Book_Value,Total_Debt,Total_Cash,Current_Ratio,Quick_Ratio,ROE,ROA,Operating_Margin,Profit_Margin,Debt_to_Equity,PE,Forward_PE,PB,PEG,Dividend_Yield,Revenue_Growth,Profit_Growth,Fundamental_Score,Sector_Score,Market_Adjustment,Overall_Score,Trade_Status,Entry_Zone,Entry_Price,Stop_Loss,Target_1,Target_2,Risk_Reward,Ranking_Quality
ELECON,ELECON.NS,2026-09-23,420.54998779296875,476.8999938964844,420.1000061035156,466.6000061035156,30984922.0,422.4050033569336,430.7120013427734,476.30199951171875,456.43850051879883,427.7421546252758,426.22247483266716,438.9348734014239,66.40338872519189,15.637542865105871,3.351380767371158,14.522813752682257,626.0,352.0,2.226259523061036,-25.46325781094,402.3999938964844,457.0,419.75,14.545231155573713,9.710796965893941,-15.155924039172152,True,True,True,True,True,71.25,25.0,57.3,83.19,100.0,67.81,100.0,Strong Breakout Watch,Elecon Engineering Company Limited,EQ,INE205B01031,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-1.1369999999999998,70.113,Actionable Watch,457.00 or below,457.0,433.54,503.91,527.37,2.0,Very Strong
EKC,EKC.NS,2026-09-23,100.9000015258789,119.33000183105469,100.9000015258789,113.66000366210938,23854214.0,104.11250076293945,108.21420059204101,112.14250015258789,112.63699989318847,103.73903408178695,104.51684179972531,107.66401578205662,65.87847271329211,3.936629848516093,3.4635137442182224,18.374591189426365,154.5500030517578,90.25,0.9082306612312019,-26.457456216260724,96.48999786376953,111.79000091552734,100.9566650390625,15.098737885680368,3.1865656719086033,-2.754956936153097,True,True,True,True,True,69.35,25.0,54.17,84.24,100.0,57.27,100.0,Strong Breakout Watch,Everest Kanto Cylinder Limited,EQ,INE184H01027,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-1.1369999999999998,68.213,Actionable Watch,111.79 or below,111.79,105.89,123.6,129.5,2.0,Strong
NTPCGREEN,NTPCGREEN.NS,2026-09-23,93.77999877929688,95.80000305175781,93.7699966430664,95.41999816894531,5221500.0,89.12700080871582,90.90460052490235,95.4195002746582,95.30765014648438,90.65334027460561,89.93607990446097,91.28822401029858,71.1586738661316,1.7569402464379738,1.8412704675672218,2.043042281878092,119.94999694824219,84.0,0.11787933317866095,-20.450187080772874,85.16000366210938,95.30000305175781,93.47000122070312,8.93937910540532,4.546950453070031,0.3575897468899525,True,True,True,True,True,65.58,25.0,59.38,73.68,86.51,50.94,100.0,Strong Breakout Watch,NTPC Green Energy Limited,EQ,INE0ONG01011,NTPC Green Energy Limited,Utilities,Utilities - Renewable,786260819968.0,1085996204032.0,32850700288.0,6069600256.0,0.62,2.72857,22.136,317161406464.0,6175000064.0,,,,,58.36299700000001,18.476,165.281,150.5,34.1974,4.2153053,,,62.7,38.5,75.0,50,-1.1369999999999998,68.211,Actionable Watch,95.30 or below,95.3,92.66,100.57,103.21,2.0,Strong
TIMKEN,TIMKEN.NS,2026-09-23,3152.0,3299.0,3133.60009765625,3287.89990234375,55180.0,3182.614990234375,3182.910009765625,3354.6599975585937,3287.689001464844,3200.926461403211,3193.880575966555,3224.18772219086,56.88837131385464,101.93210124095953,3.100219114587343,1.4464261373764065,3925.0,2800.5,0.006414867063520013,-16.231849621815286,3080.199951171875,3321.0,3162.7999674479165,1.5222566294362139,6.105784817930582,-5.623174227529837,True,True,True,False,True,60.67,25.0,57.71,97.78,65.62,50.05,75.0,Pre-Breakout Watch,Timken India Limited,EQ,INE325A01013,Timken India Limited,Industrials,Tools & Accessories,237029277696.0,233982951424.0,35991699456.0,4261189888.0,56.8,83.71202,387.48,145620000.0,3191950080.0,,,,,15.506,11.8389994,0.5,55.478874,37.643337,8.132548,,8.0,16.6,14.799999999999999,78.71,50,-1.1369999999999998,66.749,Actionable Watch,3287.90 or below,3287.9,3135.0,3593.7,3746.59,2.0,Strong
RADAAN,RADAAN.NS,2026-09-23,2.869999885559082,3.440000057220459,2.5199999809265137,3.130000114440918,564770.0,2.93199999332428,2.9904000043869017,3.0264000034332277,3.1046999990940094,2.913746783426708,2.9270662278418027,2.9720156634464256,61.6653383849128,0.21691019931524774,6.9300380634009136,10.224107764344245,3.990000009536743,2.3499999046325684,0.8148972639640428,-21.553882031084882,2.559999942779541,3.1600000858306885,2.853333314259847,10.211274966056827,4.333337148030592,6.101697079582591,True,True,True,False,True,66.91,25.0,63.55,92.67,100.0,56.52,75.0,Pre-Breakout Watch,Radaan Mediaworks India Limited,EQ,INE874F01027,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-1.1369999999999998,65.773,Actionable Watch,3.13 or below,3.13,2.8,3.78,4.11,2.0,Strong
SCODATUBES,SCODATUBES.NS,2026-09-23,139.9499969482422,145.75999450683594,130.72000122070312,137.74000549316406,2928798.0,129.98550148010253,135.68640029907226,137.69670051574707,140.11770050048827,130.14642790415238,130.43746470309034,133.81556043284832,60.60843813049844,5.671338846434843,4.117423130723127,9.873073876181968,181.47999572753906,110.0,-1.6969269398736109,-24.101824588999364,118.5999984741211,138.07000732421875,129.20333353678384,10.776909723287487,6.891203508266286,-4.790207205013175,False,True,True,False,True,63.67,25.0,59.95,94.78,100.0,36.42,75.0,Pre-Breakout Watch,Scoda Tubes Limited,EQ,INE090501011,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-1.1369999999999998,62.533,Actionable Watch,137.74 or below,137.74,129.23,154.75,163.26,2.0,Strong
3MINDIA,3MINDIA.NS,2026-09-23,34225.0,35000.0,34225.0,34615.0,4992.0,33282.75,34423.0,33669.1,33860.0,33677.199909103365,33572.671728331814,33866.15433446259,57.98498904453661,938.5781255064065,2.7114780456634597,1.1931594105907237,38030.0,28730.0,2.229769639692858,-8.979752826715748,31500.0,35095.0,34460.0,8.392046344136528,2.7303754266211566,5.212765957446819,True,True,True,False,True,62.63,25.0,59.63,99.97,56.76,67.84,75.0,Pre-Breakout Watch,3M India Limited,EQ,INE470A01017,3M India Limited,Industrials,Conglomerates,384082575360.0,360028831744.0,53169999872.0,5776999936.0,513.97,777.2,1569.586,1697500032.0,8121399808.0,,,,,15.554000000000002,10.865,9.6,66.33656,43.869015,21.722288,,49.0,19.0,31.2,62.55,50,-1.1369999999999998,61.461,Actionable Watch,34615.00 or below,34615.0,33207.13,37430.73,38838.6,2.0,Strong
WEWIN,WEWIN.NS,2026-09-23,43.9900016784668,47.29999923706055,43.04999923706055,46.7599983215332,8968.0,43.29349994659424,44.90660003662109,49.35480007171631,47.58885005950928,43.452221623688466,43.572065570094395,45.10684342732821,61.390249514530886,2.1308225210606646,4.556934554207224,4.15531461403021,78.0,35.380001068115234,-1.7416931422793436,-40.05128420316256,40.0,47.47999954223633,42.506666819254555,11.679005288735777,-0.2985142852680922,-2.58333683013916,False,True,True,False,True,61.49,25.0,47.34,93.22,100.0,36.07,75.0,Pre-Breakout Watch,WE WIN LIMITED,EQ,INE082W01014,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-1.1369999999999998,60.353,Actionable Watch,46.76 or below,46.76,43.56,53.15,56.35,2.0,Strong
MAXHEALTH,MAXHEALTH.NS,2026-09-23,1056.5,1067.300048828125,1053.199951171875,1059.9000244140625,1122445.0,1025.134994506836,1045.1200012207032,1048.8080004882813,1035.4759982299804,1045.4379361953806,1035.0606368182928,1039.1007683220028,59.24306404564841,21.657158697657167,2.04332089808468,0.638446262473313,1221.9000244140625,903.0,2.3587245118025013,-13.258040491298285,974.0,1072.5999755859375,1058.3999837239583,3.4048804306402447,5.462688996424125,-7.018159337361363,True,True,True,False,True,58.86,25.0,55.31,97.51,37.35,68.87,75.0,Pre-Breakout Watch,Max Healthcare Institute Limited,EQ,INE027H01010,Max Healthcare Institute Limited,Healthcare,Medical Care Facilities,1002509565952.0,1030562775040.0,87120502784.0,14569299968.0,14.94,23.34851,110.433,34783600640.0,6657999872.0,,,,,19.728,16.723,32.367,68.94244,44.114162,9.326922,,19.0,16.7,4.8,55.48,50,-1.1369999999999998,56.370999999999995,Actionable Watch,1059.90 or below,1059.9,1027.41,1124.87,1157.36,2.0,Good
STYRENIX,STYRENIX.NS,2026-09-23,2078.300048828125,2154.10009765625,2077.60009765625,2130.10009765625,28464.0,2066.014990234375,2204.44,2233.3689990234375,2116.8394970703125,2089.383810418947,2096.0607913005674,2153.1534557250793,52.88098587708587,60.41989175420415,2.836481338162661,0.8325825737986873,2653.0,1780.0,0.626433917370206,-19.709758852007162,1964.4000244140625,2170.0,2086.2333170572915,3.417980684240951,3.1825323784364423,-7.189228921583746,True,True,True,False,True,55.93,25.0,50.61,89.76,44.14,55.01,75.0,Pre-Breakout Watch,Styrenix Performance Materials Limited,EQ,INE189B01011,Styrenix Performance Materials Limited,Basic Materials,Chemicals,37481889792.0,40421359616.0,35053899776.0,2692300032.0,151.72,125.9,777.056,5480999936.0,1609600000.0,,,,,18.767999,7.6799995999999995,40.115,14.039679,16.918983,2.7412438,,370.0,7.1,152.1,59.82,50,-1.1369999999999998,56.349000000000004,Actionable Watch,2130.10 or below,2130.1,2039.47,2311.36,2401.99,2.0,Good
