Symbol,Yahoo_Symbol,Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA200,EMA9,EMA20,EMA50,RSI14,ATR14,ATR_Pct,Volume_Ratio,52W_High,52W_Low,Distance_200DMA_Pct,Distance_52W_High_Pct,Support,Resistance,Pivot,Return_5D_Pct,Return_20D_Pct,Return_60D_Pct,Above_200DMA,Near_200DMA,Recent_200DMA_Cross_Down,Breakout,Near_Breakout,Technical_Score,Trend_Score,Momentum_Score,RSI_Score,Volume_Score,Position_Score,Breakout_Score,Setup,name,series,isin,Above_20DMA,Above_50DMA
20MICRONS,20MICRONS.NS,2026-09-18,207.77000427246094,209.0,204.6199951171875,208.27999877929688,45744.0,213.57149963378907,204.37459991455077,195.54780014038087,187.09634994506837,209.91640138031872,209.93713300019166,204.55817493817952,49.593625799221826,8.868696744151126,4.258064526660963,0.19863395731393427,237.4499969482422,129.61000061035156,11.322320740328728,-12.284690900755669,193.86000061035156,233.52999877929688,201.09333292643228,-4.485003617717154,6.2436267661461375,0.17314381181317007,True,False,True,False,False,52.16,25.0,62.63,83.19,21.95,100.0,35.0,Neutral Watch,20 Microns Limited,EQ,INE144J01027,False,True
21STCENMGM,21STCENMGM.NS,2026-09-18,38.810001373291016,39.290000915527344,38.810001373291016,38.97999954223633,135.0,39.7149995803833,39.60179985046387,36.26139995574951,37.5349000453949,38.83553181910053,39.46555046441514,38.986243375873904,45.2827854055992,1.0617331066097309,2.723789428112492,0.03247924936845904,54.470001220703125,28.25,3.850015572423837,-28.4376745572374,37.36000061035156,44.619998931884766,38.47333272298177,1.5368589788177456,-9.997694975195659,17.40963447732502,True,False,False,False,False,44.32,25.0,43.93,74.57,16.14,80.8,35.0,Neutral Watch,21st Century Management Services Limited,EQ,INE253B01015,False,False
360ONE,360ONE.NS,2026-09-18,1060.5,1086.0999755859375,1060.5,1073.0999755859375,519067.0,1132.9100036621094,1140.6000024414063,1120.3720043945314,1109.1617535400392,1083.3254619671407,1112.9041764605358,1128.617173349364,36.66180011745798,27.953957030875504,2.604972292130749,0.729314979917272,1236.199951171875,906.0499877929688,-3.2512641045371105,-13.193656530347242,1037.0999755859375,1219.800048828125,1054.4666748046875,-1.6406988463852024,-10.500419050380527,-1.1332272481535122,False,False,True,False,False,34.49,25.0,28.09,57.32,40.53,23.99,35.0,Weak / Avoid,360 ONE WAM LIMITED,EQ,INE466L01038,False,False
3IINFOLTD,3IINFOLTD.NS,2026-09-18,25.670000076293945,26.0,24.559999465942383,25.5,419639.0,23.24650020599365,22.820000076293944,20.10870002746582,17.762550015449523,23.7855330075556,23.46739136826305,22.497670615980148,65.51673335777829,1.0575854223087722,4.147393812975577,1.6472186534493187,27.799999237060547,12.680000305175781,43.560468388945225,-8.273378777631002,21.700000762939453,25.100000381469727,24.47333335876465,13.839287652957232,14.606741573033698,47.48408704304716,True,False,False,True,True,78.64,25.0,100.0,84.97,72.65,100.0,100.0,Strong Breakout Watch,3i Infotech Limited,BE,INE748C01038,True,True
3MINDIA,3MINDIA.NS,2026-09-18,32530.0,34450.0,32380.0,34095.0,8040.0,33216.75,34562.9,33628.0,33875.375,32888.370871834384,33301.28954780584,33831.59213118743,54.68935364554661,963.8517728279762,2.8269592985129086,2.158505154639175,38030.0,28730.0,0.6483323062844271,-10.347094399158562,31500.0,35100.0,32361.666666666668,3.2399697199091637,1.7609312042978553,1.669897122409414,True,True,True,False,False,56.1,25.0,54.86,93.38,90.55,55.19,35.0,200 DMA Recovery Watch,3M India Limited,EQ,INE470A01017,True,False
3PLAND,3PLAND.NS,2026-09-18,31.5,31.5,30.5,31.09000015258789,721.0,31.856500148773193,31.947399978637694,32.26529993057251,33.64395003318786,31.540584192837272,31.7732215293342,31.984008020848325,41.108086886998876,1.3802424094031198,4.439505958922391,0.18371298985883913,46.88999938964844,28.510000228881836,-7.591111858389532,-33.695882795316464,28.510000228881836,33.970001220703125,30.836666742960613,-3.596898751665456,-2.722149426804721,-3.417205719320515,False,False,False,False,False,26.42,0.0,41.82,66.22,21.43,0.0,35.0,Weak / Avoid,3P Land Holdings Limited,EQ,INE105C01023,False,False
5PAISA,5PAISA.NS,2026-09-18,314.1000061035156,323.0,314.1000061035156,321.3500061035156,21347.0,346.33499908447266,362.32799926757815,347.2783999633789,335.6361001586914,327.6955080693142,341.1328861733495,351.5916455437076,33.51612603777663,12.444370570586372,3.872528499836935,0.4678153677578414,416.95001220703125,245.5,-4.256423563621792,-22.928409474670232,307.20001220703125,413.25,314.3500061035156,-3.3533816230028157,-17.792271393942904,-9.12047495569298,False,False,True,False,False,27.82,25.0,7.12,51.03,31.37,15.95,35.0,Weak / Avoid,5Paisa Capital Limited,EQ,INE618L01018,False,False
63MOONS,63MOONS.NS,2026-09-18,872.6500244140625,890.1500244140625,864.4500122070312,884.75,231331.0,837.4675018310547,807.452001953125,737.2925036621094,693.7402529907226,870.3139943872297,849.8403589652753,806.140208745503,59.5729305840639,40.32451089325956,4.557729403024533,0.566554497541096,966.0,467.0,27.533323341961502,-8.41097308488613,739.0999755859375,945.0,866.5333251953125,-2.657060596915617,11.219358893777498,32.150858849887975,True,False,True,False,False,61.48,25.0,98.16,96.85,34.83,100.0,35.0,Momentum Watch,63 moons technologies limited,EQ,INE111B01023,True,True
A2ZINFRA,A2ZINFRA.NS,2026-09-18,15.3100004196167,15.3100004196167,14.869999885559082,14.890000343322754,43624.0,15.74449987411499,14.910999946594238,14.818199949264526,15.20869996547699,15.240587881915424,15.429829948229123,15.199012854273777,44.062954985108796,0.7898530073655129,5.304586898278436,0.13163024285091843,19.389999389648438,12.0,-2.095508642274946,-23.20783490446141,14.0600004196167,17.1200008392334,14.923333485921225,-2.3606534864081707,2.9025574882051153,7.199423868126287,False,True,True,False,False,39.98,25.0,61.56,72.13,19.61,33.24,35.0,200 DMA Recovery Watch,A2Z Infra Engineering Limited,EQ,INE619I01012,False,False
AAATECH,AAATECH.NS,2026-09-18,88.0,88.0,84.05000305175781,86.94999694824219,107337.0,92.05999946594238,92.22160018920898,93.94600021362305,96.66349990844726,90.02903054781936,91.39898588307955,92.55953658919282,37.89029151675911,3.303852169888304,3.799715107356419,2.4152560965319383,136.0,76.11000061035156,-10.048780531850188,-36.06617871452781,83.80000305175781,98.4000015258789,87.12333424886067,-5.365694876522631,-9.152650945591356,-8.627581334505807,False,False,True,False,False,34.62,0.0,24.79,59.78,99.53,0.0,35.0,Weak / Avoid,AAA Technologies Limited,EQ,INE0D0U01013,False,False
