Yahoo_Symbol,Reason
3BBLACKBIO.NS,insufficient or invalid OHLCV
AARNAV.NS,insufficient or invalid OHLCV
AASTHA.NS,insufficient or invalid OHLCV
ABANSENT.NS,insufficient or invalid OHLCV
ABMKNO.NS,insufficient or invalid OHLCV
ACGL.NS,insufficient or invalid OHLCV
ACSTECH.NS,insufficient or invalid OHLCV
ADDIND.NS,insufficient or invalid OHLCV
ADVAIT.NS,insufficient or invalid OHLCV
ADVENTHTL.NS,insufficient or invalid OHLCV
ADVIKCA.NS,insufficient or invalid OHLCV
AEPL.NS,insufficient or invalid OHLCV
AEQUS.NS,insufficient or invalid OHLCV
AEROPLANE.NS,insufficient or invalid OHLCV
AGL.NS,insufficient or invalid OHLCV
AKCAPIT.NS,insufficient or invalid OHLCV
ALFREDHE.NS,insufficient or invalid OHLCV
ALGOQUANT.NS,insufficient or invalid OHLCV
ALPINETEX.NS,insufficient or invalid OHLCV
ALUFLUOR.NS,insufficient or invalid OHLCV
AMAGI.NS,insufficient or invalid OHLCV
AMAL.NS,insufficient or invalid OHLCV
AMARJOTHI.NS,insufficient or invalid OHLCV
AMBALALSA.NS,insufficient or invalid OHLCV
ANDREWYU.NS,insufficient or invalid OHLCV
ANNU.NS,insufficient or invalid OHLCV
ANSALBU.NS,insufficient or invalid OHLCV
APOORVA.NS,insufficient or invalid OHLCV
ARCIL.NS,insufficient or invalid OHLCV
ARCL.NS,insufficient or invalid OHLCV
ARDEE.NS,insufficient or invalid OHLCV
ARIHANT.NS,insufficient or invalid OHLCV
ARYAMAN.NS,insufficient or invalid OHLCV
ASHIKAG.NS,insufficient or invalid OHLCV
ASIANTNE.NS,insufficient or invalid OHLCV
ASSAMENT.NS,insufficient or invalid OHLCV
ASTAR.NS,insufficient or invalid OHLCV
AUGMONT.NS,insufficient or invalid OHLCV
AUSTENG.NS,insufficient or invalid OHLCV
AVANCE.NS,insufficient or invalid OHLCV
AXTEL.NS,insufficient or invalid OHLCV
AYE.NS,insufficient or invalid OHLCV
AZADIND.NS,insufficient or invalid OHLCV
BAJAJST.NS,insufficient or invalid OHLCV
BATLIBOI.NS,insufficient or invalid OHLCV
BCPL.NS,insufficient or invalid OHLCV
BEEKAY.NS,insufficient or invalid OHLCV
BENARAS.NS,insufficient or invalid OHLCV
BENGALASM.NS,insufficient or invalid OHLCV
BHARATCOAL.NS,insufficient or invalid OHLCV
BI.NS,insufficient or invalid OHLCV
BIMETAL.NS,insufficient or invalid OHLCV
BIRLAPREC.NS,insufficient or invalid OHLCV
BLACKROSE.NS,insufficient or invalid OHLCV
BLEL.NS,insufficient or invalid OHLCV
BLIL.NS,insufficient or invalid OHLCV
BLUECLOUDS.NS,insufficient or invalid OHLCV
BNAGROCHEM.NS,insufficient or invalid OHLCV
BNALTD.NS,insufficient or invalid OHLCV
BONLON.NS,insufficient or invalid OHLCV
BPLPHARMA.NS,insufficient or invalid OHLCV
BRAHMINFRA.NS,insufficient or invalid OHLCV
BRIGHTBR.NS,insufficient or invalid OHLCV
BTTL.NS,insufficient or invalid OHLCV
BUILDPRO.NS,insufficient or invalid OHLCV
CAPILLARY.NS,insufficient or invalid OHLCV
CEINSYS.NS,insufficient or invalid OHLCV
CENTEXT-RE.NS,insufficient or invalid OHLCV
CFEL.NS,insufficient or invalid OHLCV
CGVAK.NS,insufficient or invalid OHLCV
CHEMCRUX.NS,insufficient or invalid OHLCV
CLEANMAX.NS,insufficient or invalid OHLCV
CMLL.NS,insufficient or invalid OHLCV
CMPDI.NS,insufficient or invalid OHLCV
CMRGREEN.NS,insufficient or invalid OHLCV
COCKERILL.NS,insufficient or invalid OHLCV
COMFINTE.NS,insufficient or invalid OHLCV
COMPEAU.NS,insufficient or invalid OHLCV
CORDELIA.NS,insufficient or invalid OHLCV
CORONA.NS,insufficient or invalid OHLCV
CPL.NS,insufficient or invalid OHLCV
CRAVATEX.NS,insufficient or invalid OHLCV
CRSL.NS,insufficient or invalid OHLCV
CSM.NS,insufficient or invalid OHLCV
DAICHI.NS,insufficient or invalid OHLCV
DCMSIL.NS,insufficient or invalid OHLCV
DECNGOLD.NS,insufficient or invalid OHLCV
DEEP.NS,insufficient or invalid OHLCV
